Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 05/23  09:00:00,301.098928459,37.2677794705,94.8857452875,0.0,51.0481707146,71.0224615957,364.358540526,8.13122973216,66.8089,289.418410794
 05/23  10:00:00,253.634326355,37.4106765227,95.6047265607,0.0,32.1804615127,65.7244621605,316.669181044,4.20339316367,83.4695,228.99628788
 05/23  11:00:00,254.657134271,37.5429986559,95.5687732337,0.0,32.1804615127,65.7244621605,258.148469453,4.17447509607,83.4695,170.504494357
 05/23  12:00:00,254.380220945,37.5976366921,95.8408133754,0.0,32.1804615127,65.7244621605,258.300118653,4.5795354838,83.4695,170.251083169
 05/23  13:00:00,245.010374213,37.5183425542,96.4663587496,0.0,32.1804615127,55.9779621605,249.82217028,4.86151139951,75.1392,169.821458881
 05/23  14:00:00,244.893333433,37.5512621261,96.4714878936,0.0,32.1804615127,55.9779621605,234.912011461,4.97507449333,66.8089,163.128036967
 05/23  15:00:00,225.719782094,37.5855047626,78.1911265544,0.0,32.1804615127,55.9779621605,263.611097213,18.7011257735,75.1392,169.770771439
 05/23  16:00:00,252.698324407,37.3298901141,76.6083802472,0.0,32.1804615127,60.9114621605,241.233235175,25.7720611901,91.7998,123.661373985
 05/23  17:00:00,306.335976656,36.729610642,94.629090918,0.0,32.1804615127,77.5397301883,256.552039272,11.0459950571,49.9818,195.524244215
 05/23  18:00:00,361.018468203,36.7915631757,95.0266306743,0.0,77.122965704,86.2600435998,402.835895785,8.27411922449,49.9818,344.579976561
 05/23  19:00:00,368.237585196,36.8044360138,95.4746936596,0.0,102.647051061,80.1663183927,303.574730231,13.4560397702,33.3212,256.797490461
 05/23  20:00:00,410.029739187,36.7871306549,95.4384151224,0.0,115.40909374,92.7192997104,303.59054254,18.0754366514,33.3212,252.193905888
 05/23  21:00:00,385.133536584,36.8672240934,94.0407393391,0.0,102.647051061,94.1340635361,424.816767549,20.3041793553,24.9909,379.521688194
