Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 09/19  08:00:00,1253.73541436,104.480625282,412.604439674,0.0,243.2593065,310.10971186,348.513412319,265.42780493,56.6466996096,26.4389077786
 09/19  09:00:00,1275.41028965,105.807185518,396.552095542,0.0,243.2593065,302.612436532,317.316541602,240.545114095,42.4850247072,34.2864028004
 09/19  10:00:00,1267.71646115,107.612729326,378.501927005,0.0,243.2593065,310.10971186,321.389095023,213.941657165,70.808374512,36.6390633462
 09/19  11:00:00,1248.4478028,109.467589028,352.326803383,0.0,243.2593065,310.10971186,309.756951153,203.323424887,70.808374512,35.6251517532
 09/19  12:00:00,1204.69556952,111.575176412,330.865382751,0.0,243.2593065,310.10971186,293.749206023,187.490315209,70.808374512,35.4505163023
 09/19  13:00:00,1246.43023777,113.541387594,321.471277765,0.0,243.2593065,302.612436532,267.585624917,175.308061305,56.6466996096,35.6308640023
 09/19  14:00:00,1268.28239684,116.209402949,313.369618437,0.0,243.2593065,302.612436532,235.516088632,157.4568355,42.4850247072,35.574228425
 09/19  15:00:00,1276.23901145,119.826974174,302.702600467,0.0,243.2593065,302.612436532,225.190725733,133.033513735,56.6466996096,35.5105123887
 09/19  16:00:00,1282.03453719,122.656089304,297.029472389,0.0,243.2593065,310.10971186,244.1630011,123.869322456,84.9700494144,35.3236292288
 09/19  17:00:00,1287.36790324,124.372124212,293.262087442,0.0,243.2593065,310.10971186,225.327531348,122.858389846,84.9700494144,17.4990920874
 09/19  18:00:00,1029.98989685,98.107680265,321.603891346,0.0,166.938926447,199.110933808,270.748522826,168.336170367,84.9700494144,17.4423030442
 09/19  19:00:00,1057.77193983,98.107680265,355.671887993,0.0,166.938926447,191.61365848,281.743007752,207.656427455,56.6466996096,17.4398806869
 09/19  20:00:00,941.191271108,98.107680265,377.874386205,0.0,100.150657288,124.558693486,323.998743249,258.622824877,56.6466996096,8.72921876221
 09/19  21:00:00,884.066146959,98.107680265,381.601973241,0.0,100.150657288,124.558693486,330.725350794,270.839152496,42.4850247072,17.4011735909
 09/19  22:00:00,787.819927839,98.107680265,379.085384836,0.0,46.0930336215,124.558693486,334.219256093,288.500888043,28.3233498048,17.3950182454
 09/19  23:00:00,786.525761507,98.107680265,391.296984076,0.0,46.0930336215,124.558693486,321.08090348,298.211513742,14.1616749024,8.70771483531
 09/19  24:00:00,770.715655099,98.107680265,392.619128183,0.0,46.0930336215,113.312780494,327.509638754,304.449020112,5.66466996096,17.3959486804
 09/20  01:00:00,777.671426483,98.107680265,401.370915502,0.0,46.0930336215,113.312780494,326.098005991,311.725011969,5.66466996096,8.70832406133
 09/20  02:00:00,785.623501713,98.107680265,408.79224631,0.0,46.0930336215,113.312780494,345.20958398,322.15036675,5.66466996096,17.3945472695
 09/20  03:00:00,781.953169692,98.107680265,404.540184052,0.0,46.0930336215,113.312780494,343.567687675,329.194118082,5.66466996096,8.70889963217
 09/20  04:00:00,870.960115576,98.107680265,402.653874058,0.0,100.150657288,148.969399434,336.628541372,313.566839376,5.66466996096,17.3970320353
 09/20  05:00:00,873.45249158,99.2525559398,401.068837761,0.0,100.150657288,149.894399434,441.511166622,418.642760951,14.1616749024,8.70673076884
 09/20  06:00:00,1104.26054369,102.370727088,399.151971792,0.0,176.471037341,302.612436532,347.667898916,301.946887259,28.3233498048,17.3976618522
 09/20  07:00:00,1217.10382808,106.834761152,387.825081098,0.0,243.2593065,310.10971186,310.352554861,250.316247513,42.4850247072,17.5512826407
 09/20  08:00:00,1236.27295432,108.884290086,348.143691236,0.0,243.2593065,310.10971186,311.45094863,219.558596938,56.6466996096,35.2456520827
 09/20  09:00:00,1258.86824123,110.716333805,323.836055898,0.0,243.2593065,302.612436532,265.860844981,196.834917766,42.4850247072,26.5409025082
 09/20  10:00:00,1276.22871498,112.726865359,313.704109906,0.0,243.2593065,310.10971186,281.830860248,175.449274705,70.808374512,35.5732110309
 09/20  11:00:00,1295.67913794,114.715017678,305.960208119,0.0,243.2593065,310.10971186,273.826323033,158.471041733,70.808374512,44.5469067873
 09/20  12:00:00,1257.23731778,116.968158753,296.126942739,0.0,243.2593065,310.10971186,236.914189261,139.512864568,70.808374512,26.5929501809
 09/20  13:00:00,1296.18116885,119.411605267,292.514540724,0.0,243.2593065,302.612436532,222.735647728,121.55416609,56.6466996096,44.5347820289
 09/20  14:00:00,1305.24923674,122.814191204,293.617503526,0.0,243.2593065,302.612436532,170.843635499,92.7952518894,42.4850247072,35.5633589023
 09/20  15:00:00,1322.13893598,130.827525302,299.965244833,0.0,243.2593065,302.612436532,154.843974293,62.6963151545,56.6466996096,35.5009595288
 09/20  16:00:00,1341.43009376,137.794625817,300.860587323,0.0,243.2593065,310.10971186,158.328115712,46.8556439916,84.9700494144,26.5024223056
 09/20  17:00:00,1335.09364545,136.576502828,299.828045078,0.0,243.2593065,310.10971186,164.039552914,52.831429458,84.9700494144,26.2380740418
 09/20  18:00:00,1010.00302753,98.107680265,293.173220569,0.0,166.938926447,199.110933808,224.171599425,130.469233744,84.9700494144,8.73231626612
 09/20  19:00:00,1044.67707574,98.107680265,330.02276132,0.0,166.938926447,191.61365848,267.519417608,193.429996728,56.6466996096,17.4427212699
 09/20  20:00:00,926.111608817,98.107680265,350.253832798,0.0,100.150657288,124.558693486,314.932077024,240.84290146,56.6466996096,17.4424759549
 09/20  21:00:00,887.891509831,98.107680265,356.969960914,0.0,100.150657288,124.558693486,313.415283483,253.528229619,42.4850247072,17.4020291562
 09/20  22:00:00,832.917774313,98.107680265,372.303405615,0.0,46.0930336215,124.558693486,314.801350773,277.769309316,28.3233498048,8.7086916513
 09/20  23:00:00,822.180045406,98.107680265,364.429299772,0.0,46.0930336215,124.558693486,316.510430642,284.953586775,14.1616749024,17.3951689643
 09/20  24:00:00,803.259432471,98.107680265,357.088175915,0.0,46.0930336215,113.312780494,303.515616884,289.145036143,5.66466996096,8.70591077967
 09/21  01:00:00,803.450035046,98.107680265,358.183185123,0.0,46.0930336215,113.312780494,317.505621325,294.444563566,5.66466996096,17.3963877986
 09/21  02:00:00,802.10825136,98.107680265,355.20676029,0.0,46.0930336215,113.312780494,312.892554384,298.520694647,5.66466996096,8.70718977629
 09/21  03:00:00,799.881881512,98.107680265,353.620522469,0.0,46.0930336215,113.312780494,325.201927486,302.142812512,5.66466996096,17.3944450137
 09/21  04:00:00,882.992562414,98.107680265,351.853277552,0.0,100.150657288,148.969399434,300.235581586,285.863190709,5.66466996096,8.70772091545
 09/21  05:00:00,886.585556749,100.338607095,351.269236098,0.0,100.150657288,149.894399434,405.773758187,374.215406894,14.1616749024,17.3966763907
 09/21  06:00:00,1104.55922551,104.266222792,342.525618348,0.0,176.471037341,302.612436532,302.330852986,261.245381354,28.3233498048,12.7621218267
 09/21  07:00:00,1210.50294708,109.934295415,337.800493606,0.0,243.2593065,310.10971186,296.475330459,231.763966028,42.4850247072,22.2263397245
 09/21  08:00:00,1235.69155936,111.663192529,325.816366183,0.0,243.2593065,310.10971186,297.526113605,214.4381962,56.6466996096,26.4412177955
 09/21  09:00:00,1250.62739342,113.763421678,313.751930797,0.0,243.2593065,302.612436532,258.739980766,180.879529487,42.4850247072,35.3754265725
 09/21  10:00:00,1245.47530568,115.749926627,309.481986007,0.0,243.2593065,310.10971186,258.744380577,152.370116888,70.808374512,35.5658891772
 09/21  11:00:00,1238.70090468,116.95926736,304.752536211,0.0,243.2593065,310.10971186,248.985017563,142.53684305,70.808374512,35.6398000002
 09/21  12:00:00,1195.33126504,117.977504157,302.86539074,0.0,243.2593065,310.10971186,247.760145489,141.488487456,70.808374512,35.4632835212
 09/21  13:00:00,1231.10614802,119.1686634,303.561121143,0.0,243.2593065,302.612436532,225.65511798,128.541418808,56.6466996096,40.4669995624
 09/21  14:00:00,1201.85087285,119.621649467,304.471784738,0.0,243.2593065,302.612436532,215.56647037,133.443015163,42.4850247072,39.6384304997
